,Company Id,PROs Culture & Values mean,PROs Work/Life Balance mean,PROs Senior Management mean,PROs Comp & Benefits mean,PROs Career Opportunities mean,CONs Culture & Values mean,CONs Work/Life Balance mean,CONs Senior Management mean,CONs Comp & Benefits mean,CONs Career Opportunities mean,PROs Culture & Values count,PROs Work/Life Balance count,PROs Senior Management count,PROs Comp & Benefits count,PROs Career Opportunities count,CONs Culture & Values count,CONs Work/Life Balance count,CONs Senior Management count,CONs Comp & Benefits count,CONs Career Opportunities count
121,212,0.4518875,0.6454333333333333,0.45175,0.7040500000000001,0.3829,-0.31639999999999996,0.0,0.38155,-0.6705,0.16465,8.0,3.0,2.0,2.0,3.0,5.0,1.0,2.0,1.0,2.0
122,213,0.47606518518518465,0.47814374999999987,0.40811463414634147,0.5631391304347824,0.5356017391304345,0.01788713450292398,0.05226938775510203,-0.06920342857142855,0.04930312499999998,0.001889090909090908,270.0,96.0,82.0,161.0,115.0,342.0,49.0,175.0,64.0,110.0
123,215,0.6039005333333332,0.5183767241379307,0.4466031250000001,0.5754178030303031,0.5226786458333327,0.0077005714285714455,0.004472340425531906,-0.016365979381443293,0.05586695652173913,0.10771492537313439,375.0,116.0,64.0,264.0,192.0,350.0,47.0,194.0,115.0,201.0
124,218,0.5452851351351352,0.3333833333333334,0.6233272727272727,0.5364139534883721,0.5937586206896552,0.03304382022471911,0.043954545454545454,-0.037365,0.04358461538461537,0.13947368421052633,74.0,18.0,11.0,43.0,29.0,89.0,11.0,60.0,26.0,38.0
125,220,0.5574696078431366,0.5005017857142857,0.5101545454545456,0.544086956521739,0.5279547619047618,-0.023119393939393926,-0.054680952380952386,-0.0803847328244275,-0.045259375000000004,0.10468500000000006,204.0,56.0,44.0,115.0,84.0,165.0,21.0,131.0,64.0,60.0
126,221,0.5289645621181264,0.47948270270270227,0.41305823529411745,0.5351150495049509,0.5214260989010989,0.03533846153846155,-0.07827345679012344,-0.04143010752688169,0.024192553191489354,0.11038888888888881,491.0,185.0,170.0,505.0,364.0,598.0,162.0,372.0,188.0,324.0
127,222,0.49972527075812273,0.44952290076335866,0.4456202531645567,0.517387686567164,0.513300512820512,0.0015171259842519675,-0.06542029520295199,-0.05193272058823527,0.0127066371681416,0.05937962085308059,277.0,131.0,79.0,268.0,195.0,508.0,271.0,272.0,226.0,211.0
128,223,0.567528640776699,0.5668873134328357,0.51994125,0.6041643274853804,0.5621269999999996,0.030388636363636364,-0.019875000000000018,0.029398333333333346,0.06690806451612906,0.07198018867924531,412.0,134.0,80.0,342.0,200.0,352.0,44.0,180.0,124.0,212.0
129,224,0.5590980392156863,0.6726,0.538295,0.5814153846153846,0.43609,0.020908974358974357,-0.022872727272727288,-0.10189729729729728,0.22156666666666666,0.036678947368421054,51.0,4.0,20.0,26.0,30.0,78.0,11.0,37.0,24.0,19.0
130,225,0.5400510638297878,0.4543816831683162,0.5028999999999997,0.5135797945205476,0.5056387195121945,-0.005822494887525567,-0.03553596491228067,-0.032712454212454195,-0.015001824817518251,0.08202187500000001,564.0,202.0,170.0,292.0,328.0,489.0,114.0,273.0,274.0,288.0
131,231,0.4745290322580645,0.41833750000000003,0.48056666666666664,0.5788406250000001,0.4779777777777778,-0.1510655172413793,-0.13712857142857143,-0.21672666666666668,-0.012950000000000003,0.08686842105263158,31.0,16.0,3.0,32.0,18.0,29.0,7.0,15.0,4.0,19.0
