,Ticker Symbol,Ticker Sector,Ticker Industry,Company Id,Company URL,company_name,count
3050,nasdaq:evlv,Consumer Services,General Retailers,963027,"https://www.glassdoor.com/Overview/Working-at-Evine-EI_IE963027.11,16.htm",Evine,42
3051,nasdaq:fcbc,Financials,Banks,133062,"https://www.glassdoor.com/Overview/Working-at-First-National-Bank-Texas-EI_IE133062.11,36.htm",First National Bank Texas,37
3052,nasdaq:msfg,Financials,Banks,1922,"https://www.glassdoor.com/Overview/Working-at-MainSource-Financial-EI_IE1922.11,31.htm",MainSource Financial,15
3053,nasdaq:ulbi,Industrials,Electronic & Electrical Equipment,1884,"https://www.glassdoor.com/Overview/Working-at-Ultralife-EI_IE1884.11,20.htm",Ultralife,5
3054,nasdaq:xone,Industrials,Support Services,622921,"https://www.glassdoor.com/Overview/Working-at-ExOne-EI_IE622921.11,16.htm",ExOne,3
3055,nyse:aeg,Financials,Life Insurance,10500,"https://www.glassdoor.com/Overview/Working-at-Aegon-EI_IE10500.11,16.htm",Aegon,73
3056,nyse:box,Technology,Software & Computer Services,254092,"https://www.glassdoor.com/Overview/Working-at-Box-EI_IE254092.11,14.htm",Box,114
3057,nyse:io,Oil & Gas,"Oil Equipment, Services & Distribution",271,"https://www.glassdoor.com/Overview/Working-at-ION-Geophysical-EI_IE271.11,26.htm",ION Geophysical,39
3058,nyse:mule,,,341641,"https://www.glassdoor.com/Overview/Working-at-MuleSoft-EI_IE341641.11,19.htm",MuleSoft,71
3059,nyse:tlrd,Consumer Services,General Retailers,3599,"https://www.glassdoor.com/Overview/Working-at-JoS-A-Bank-EI_IE3599.11,21.htm",JoS A Bank,122
3060,nasdaq:akao,Health Care,Pharmaceuticals & Biotechnology,268907,"https://www.glassdoor.com/Overview/Working-at-Achaogen-EI_IE268907.11,19.htm",Achaogen,12
3061,nasdaq:blcm,Health Care,Pharmaceuticals & Biotechnology,1012238,"https://www.glassdoor.com/Overview/Working-at-Bellicum-Pharmaceuticals-EI_IE1012238.11,35.htm",Bellicum Pharmaceuticals,3
3062,nyse:boh,Financials,Banks,1170,"https://www.glassdoor.com/Overview/Working-at-Bank-of-Hawaii-EI_IE1170.11,25.htm",Bank of Hawaii,58
3063,nyse:xrx,Industrials,Support Services,3685,"https://www.glassdoor.com/Overview/Working-at-Affiliated-Computer-Services-EI_IE3685.11,39.htm",Affiliated Computer Services,400
3064,lon:rel,Consumer Services,Media,1023378,"https://www.glassdoor.com/Overview/Working-at-RELX-Group-EI_IE1023378.11,21.htm",RELX Group,130
3065,xetra:bc8,,,37895,"https://www.glassdoor.com/Overview/Working-at-Bechtle-EI_IE37895.11,18.htm",Bechtle,42
3066,nyse:atr,Industrials,General Industrials,2310,"https://www.glassdoor.com/Overview/Working-at-AptarGroup-EI_IE2310.11,21.htm",AptarGroup,39
3067,nyse:cry,Health Care,Health Care Equipment & Services,595,"https://www.glassdoor.com/Overview/Working-at-CryoLife-EI_IE595.11,19.htm",CryoLife,25
3068,lon:stj,Financials,Life Insurance,10244,"https://www.glassdoor.com/Overview/Working-at-St-James-s-Place-Wealth-Management-EI_IE10244.11,45.htm",St James s Place Wealth Management,38
3069,bmv:alsea,,,43360,"https://www.glassdoor.com/Overview/Working-at-Alsea-EI_IE43360.11,16.htm",Alsea,7
3070,nasdaq:ande,Consumer Goods,Food Producers,3071,"https://www.glassdoor.com/Overview/Working-at-Andersons-EI_IE3071.11,20.htm",Andersons,51
3071,nasdaq:lmb,,,19989,"https://www.glassdoor.com/Overview/Working-at-Limbach-Facility-Services-EI_IE19989.11,36.htm",Limbach Facility Services,12
3072,nasdaq:patk,Industrials,Construction & Materials,1759,"https://www.glassdoor.com/Overview/Working-at-Patrick-Industries-EI_IE1759.11,29.htm",Patrick Industries,19
3073,nyse:brp,,,388135,"https://www.glassdoor.com/Overview/Working-at-Brookfield-Residential-EI_IE388135.11,33.htm",Brookfield Residential,15
3074,nyse:gd,Industrials,Aerospace & Defense,14402,"https://www.glassdoor.com/Overview/Working-at-General-Dynamics-Land-Systems-EI_IE14402.11,40.htm",General Dynamics Land Systems,131
3075,xetra:krn,,,10660,"https://www.glassdoor.com/Overview/Working-at-Krones-EI_IE10660.11,17.htm",Krones,39
3076,nyse:mli,Industrials,Industrial Engineering,823,"https://www.glassdoor.com/Overview/Working-at-Mueller-Industries-EI_IE823.11,29.htm",Mueller Industries,20
3077,nyse:nus,Consumer Goods,Personal Goods,6418,"https://www.glassdoor.com/Overview/Working-at-Nu-Skin-EI_IE6418.11,18.htm",Nu Skin,115
3078,nyse:stl,Financials,Banks,623,"https://www.glassdoor.com/Overview/Working-at-Sterling-Bancorp-EI_IE623.11,27.htm",Sterling Bancorp,43
3079,tsx:atz,Consumer Services,General Retailers,149390,"https://www.glassdoor.com/Overview/Working-at-Aritzia-EI_IE149390.11,18.htm",Aritzia,102
3080,nyse:fnf,Financials,Financial Services,39083,"https://www.glassdoor.com/Overview/Working-at-Fidelity-National-Financial-EI_IE39083.11,38.htm",Fidelity National Financial,135
3081,nasdaq:adtn,Technology,Technology Hardware & Equipment,3056,"https://www.glassdoor.com/Overview/Working-at-ADTRAN-EI_IE3056.11,17.htm",ADTRAN,78
3082,nasdaq:amsg,Health Care,Health Care Equipment & Services,7549,"https://www.glassdoor.com/Overview/Working-at-AmSurg-EI_IE7549.11,17.htm",AmSurg,23
3083,nasdaq:cffn,Financials,Banks,8965,"https://www.glassdoor.com/Overview/Working-at-Capitol-Federal-Financial-EI_IE8965.11,36.htm",Capitol Federal Financial,19
3084,nasdaq:dest,Consumer Services,General Retailers,243592,"https://www.glassdoor.com/Overview/Working-at-Destination-Maternity-EI_IE243592.11,32.htm",Destination Maternity,88
